ground	00	execute	.
ground	01	execute	.
ground	02	execute	.
ground	03	execute	.
ground	04	execute	.
ground	05	execute	.
ground	06	execute	.
ground	07	execute	.
ground	08	execute	.
ground	09	execute	.
ground	0A	execute	.
ground	0B	execute	.
ground	0C	execute	.
ground	0D	execute	.
ground	0E	execute	.
ground	0F	execute	.
ground	10	execute	.
ground	11	execute	.
ground	12	execute	.
ground	13	execute	.
ground	14	execute	.
ground	15	execute	.
ground	16	execute	.
ground	17	execute	.
ground	18	execute	.
ground	19	execute	.
ground	1A	execute	.
ground	1B	clear	escape
ground	1C	execute	.
ground	1D	execute	.
ground	1E	execute	.
ground	1F	execute	.
ground	20	print	.
ground	21	print	.
ground	22	print	.
ground	23	print	.
ground	24	print	.
ground	25	print	.
ground	26	print	.
ground	27	print	.
ground	28	print	.
ground	29	print	.
ground	2A	print	.
ground	2B	print	.
ground	2C	print	.
ground	2D	print	.
ground	2E	print	.
ground	2F	print	.
ground	30	print	.
ground	31	print	.
ground	32	print	.
ground	33	print	.
ground	34	print	.
ground	35	print	.
ground	36	print	.
ground	37	print	.
ground	38	print	.
ground	39	print	.
ground	3A	print	.
ground	3B	print	.
ground	3C	print	.
ground	3D	print	.
ground	3E	print	.
ground	3F	print	.
ground	40	print	.
ground	41	print	.
ground	42	print	.
ground	43	print	.
ground	44	print	.
ground	45	print	.
ground	46	print	.
ground	47	print	.
ground	48	print	.
ground	49	print	.
ground	4A	print	.
ground	4B	print	.
ground	4C	print	.
ground	4D	print	.
ground	4E	print	.
ground	4F	print	.
ground	50	print	.
ground	51	print	.
ground	52	print	.
ground	53	print	.
ground	54	print	.
ground	55	print	.
ground	56	print	.
ground	57	print	.
ground	58	print	.
ground	59	print	.
ground	5A	print	.
ground	5B	print	.
ground	5C	print	.
ground	5D	print	.
ground	5E	print	.
ground	5F	print	.
ground	60	print	.
ground	61	print	.
ground	62	print	.
ground	63	print	.
ground	64	print	.
ground	65	print	.
ground	66	print	.
ground	67	print	.
ground	68	print	.
ground	69	print	.
ground	6A	print	.
ground	6B	print	.
ground	6C	print	.
ground	6D	print	.
ground	6E	print	.
ground	6F	print	.
ground	70	print	.
ground	71	print	.
ground	72	print	.
ground	73	print	.
ground	74	print	.
ground	75	print	.
ground	76	print	.
ground	77	print	.
ground	78	print	.
ground	79	print	.
ground	7A	print	.
ground	7B	print	.
ground	7C	print	.
ground	7D	print	.
ground	7E	print	.
ground	7F	print	.
ground	80	execute	.
ground	81	execute	.
ground	82	execute	.
ground	83	execute	.
ground	84	execute	.
ground	85	execute	.
ground	86	execute	.
ground	87	execute	.
ground	88	execute	.
ground	89	execute	.
ground	8A	execute	.
ground	8B	execute	.
ground	8C	execute	.
ground	8D	execute	.
ground	8E	execute	.
ground	8F	execute	.
ground	90	clear	dcs_entry
ground	91	execute	.
ground	92	execute	.
ground	93	execute	.
ground	94	execute	.
ground	95	execute	.
ground	96	execute	.
ground	97	execute	.
ground	98	-	sos_pm_apc_string
ground	99	execute	.
ground	9A	execute	.
ground	9B	clear	csi_entry
ground	9C	-	.
ground	9D	osc_start	osc_string
ground	9E	-	sos_pm_apc_string
ground	9F	-	sos_pm_apc_string
ground	A0	print	.
ground	A1	print	.
ground	A2	print	.
ground	A3	print	.
ground	A4	print	.
ground	A5	print	.
ground	A6	print	.
ground	A7	print	.
ground	A8	print	.
ground	A9	print	.
ground	AA	print	.
ground	AB	print	.
ground	AC	print	.
ground	AD	print	.
ground	AE	print	.
ground	AF	print	.
ground	B0	print	.
ground	B1	print	.
ground	B2	print	.
ground	B3	print	.
ground	B4	print	.
ground	B5	print	.
ground	B6	print	.
ground	B7	print	.
ground	B8	print	.
ground	B9	print	.
ground	BA	print	.
ground	BB	print	.
ground	BC	print	.
ground	BD	print	.
ground	BE	print	.
ground	BF	print	.
ground	C0	print	.
ground	C1	print	.
ground	C2	print	.
ground	C3	print	.
ground	C4	print	.
ground	C5	print	.
ground	C6	print	.
ground	C7	print	.
ground	C8	print	.
ground	C9	print	.
ground	CA	print	.
ground	CB	print	.
ground	CC	print	.
ground	CD	print	.
ground	CE	print	.
ground	CF	print	.
ground	D0	print	.
ground	D1	print	.
ground	D2	print	.
ground	D3	print	.
ground	D4	print	.
ground	D5	print	.
ground	D6	print	.
ground	D7	print	.
ground	D8	print	.
ground	D9	print	.
ground	DA	print	.
ground	DB	print	.
ground	DC	print	.
ground	DD	print	.
ground	DE	print	.
ground	DF	print	.
ground	E0	print	.
ground	E1	print	.
ground	E2	print	.
ground	E3	print	.
ground	E4	print	.
ground	E5	print	.
ground	E6	print	.
ground	E7	print	.
ground	E8	print	.
ground	E9	print	.
ground	EA	print	.
ground	EB	print	.
ground	EC	print	.
ground	ED	print	.
ground	EE	print	.
ground	EF	print	.
ground	F0	print	.
ground	F1	print	.
ground	F2	print	.
ground	F3	print	.
ground	F4	print	.
ground	F5	print	.
ground	F6	print	.
ground	F7	print	.
ground	F8	print	.
ground	F9	print	.
ground	FA	print	.
ground	FB	print	.
ground	FC	print	.
ground	FD	print	.
ground	FE	print	.
ground	FF	print	.
escape	00	execute	.
escape	01	execute	.
escape	02	execute	.
escape	03	execute	.
escape	04	execute	.
escape	05	execute	.
escape	06	execute	.
escape	07	execute	.
escape	08	execute	.
escape	09	execute	.
escape	0A	execute	.
escape	0B	execute	.
escape	0C	execute	.
escape	0D	execute	.
escape	0E	execute	.
escape	0F	execute	.
escape	10	execute	.
escape	11	execute	.
escape	12	execute	.
escape	13	execute	.
escape	14	execute	.
escape	15	execute	.
escape	16	execute	.
escape	17	execute	.
escape	18	execute	ground
escape	19	execute	.
escape	1A	execute	ground
escape	1B	clear	.
escape	1C	execute	.
escape	1D	execute	.
escape	1E	execute	.
escape	1F	execute	.
escape	20	collect	escape_intermediate
escape	21	collect	escape_intermediate
escape	22	collect	escape_intermediate
escape	23	collect	escape_intermediate
escape	24	collect	escape_intermediate
escape	25	collect	escape_intermediate
escape	26	collect	escape_intermediate
escape	27	collect	escape_intermediate
escape	28	collect	escape_intermediate
escape	29	collect	escape_intermediate
escape	2A	collect	escape_intermediate
escape	2B	collect	escape_intermediate
escape	2C	collect	escape_intermediate
escape	2D	collect	escape_intermediate
escape	2E	collect	escape_intermediate
escape	2F	collect	escape_intermediate
escape	30	esc_dispatch	ground
escape	31	esc_dispatch	ground
escape	32	esc_dispatch	ground
escape	33	esc_dispatch	ground
escape	34	esc_dispatch	ground
escape	35	esc_dispatch	ground
escape	36	esc_dispatch	ground
escape	37	esc_dispatch	ground
escape	38	esc_dispatch	ground
escape	39	esc_dispatch	ground
escape	3A	esc_dispatch	ground
escape	3B	esc_dispatch	ground
escape	3C	esc_dispatch	ground
escape	3D	esc_dispatch	ground
escape	3E	esc_dispatch	ground
escape	3F	esc_dispatch	ground
escape	40	esc_dispatch	ground
escape	41	esc_dispatch	ground
escape	42	esc_dispatch	ground
escape	43	esc_dispatch	ground
escape	44	esc_dispatch	ground
escape	45	esc_dispatch	ground
escape	46	esc_dispatch	ground
escape	47	esc_dispatch	ground
escape	48	esc_dispatch	ground
escape	49	esc_dispatch	ground
escape	4A	esc_dispatch	ground
escape	4B	esc_dispatch	ground
escape	4C	esc_dispatch	ground
escape	4D	esc_dispatch	ground
escape	4E	esc_dispatch	ground
escape	4F	esc_dispatch	ground
escape	50	clear	dcs_entry
escape	51	esc_dispatch	ground
escape	52	esc_dispatch	ground
escape	53	esc_dispatch	ground
escape	54	esc_dispatch	ground
escape	55	esc_dispatch	ground
escape	56	esc_dispatch	ground
escape	57	esc_dispatch	ground
escape	58	-	sos_pm_apc_string
escape	59	esc_dispatch	ground
escape	5A	esc_dispatch	ground
escape	5B	clear	csi_entry
escape	5C	esc_dispatch	ground
escape	5D	osc_start	osc_string
escape	5E	-	sos_pm_apc_string
escape	5F	-	sos_pm_apc_string
escape	60	esc_dispatch	ground
escape	61	esc_dispatch	ground
escape	62	esc_dispatch	ground
escape	63	esc_dispatch	ground
escape	64	esc_dispatch	ground
escape	65	esc_dispatch	ground
escape	66	esc_dispatch	ground
escape	67	esc_dispatch	ground
escape	68	esc_dispatch	ground
escape	69	esc_dispatch	ground
escape	6A	esc_dispatch	ground
escape	6B	esc_dispatch	ground
escape	6C	esc_dispatch	ground
escape	6D	esc_dispatch	ground
escape	6E	esc_dispatch	ground
escape	6F	esc_dispatch	ground
escape	70	esc_dispatch	ground
escape	71	esc_dispatch	ground
escape	72	esc_dispatch	ground
escape	73	esc_dispatch	ground
escape	74	esc_dispatch	ground
escape	75	esc_dispatch	ground
escape	76	esc_dispatch	ground
escape	77	esc_dispatch	ground
escape	78	esc_dispatch	ground
escape	79	esc_dispatch	ground
escape	7A	esc_dispatch	ground
escape	7B	esc_dispatch	ground
escape	7C	esc_dispatch	ground
escape	7D	esc_dispatch	ground
escape	7E	esc_dispatch	ground
escape	7F	ignore	.
escape	80	execute	ground
escape	81	execute	ground
escape	82	execute	ground
escape	83	execute	ground
escape	84	execute	ground
escape	85	execute	ground
escape	86	execute	ground
escape	87	execute	ground
escape	88	execute	ground
escape	89	execute	ground
escape	8A	execute	ground
escape	8B	execute	ground
escape	8C	execute	ground
escape	8D	execute	ground
escape	8E	execute	ground
escape	8F	execute	ground
escape	90	clear	dcs_entry
escape	91	execute	ground
escape	92	execute	ground
escape	93	execute	ground
escape	94	execute	ground
escape	95	execute	ground
escape	96	execute	ground
escape	97	execute	ground
escape	98	-	sos_pm_apc_string
escape	99	execute	ground
escape	9A	execute	ground
escape	9B	clear	csi_entry
escape	9C	-	ground
escape	9D	osc_start	osc_string
escape	9E	-	sos_pm_apc_string
escape	9F	-	sos_pm_apc_string
escape	A0	collect	escape_intermediate
escape	A1	collect	escape_intermediate
escape	A2	collect	escape_intermediate
escape	A3	collect	escape_intermediate
escape	A4	collect	escape_intermediate
escape	A5	collect	escape_intermediate
escape	A6	collect	escape_intermediate
escape	A7	collect	escape_intermediate
escape	A8	collect	escape_intermediate
escape	A9	collect	escape_intermediate
escape	AA	collect	escape_intermediate
escape	AB	collect	escape_intermediate
escape	AC	collect	escape_intermediate
escape	AD	collect	escape_intermediate
escape	AE	collect	escape_intermediate
escape	AF	collect	escape_intermediate
escape	B0	esc_dispatch	ground
escape	B1	esc_dispatch	ground
escape	B2	esc_dispatch	ground
escape	B3	esc_dispatch	ground
escape	B4	esc_dispatch	ground
escape	B5	esc_dispatch	ground
escape	B6	esc_dispatch	ground
escape	B7	esc_dispatch	ground
escape	B8	esc_dispatch	ground
escape	B9	esc_dispatch	ground
escape	BA	esc_dispatch	ground
escape	BB	esc_dispatch	ground
escape	BC	esc_dispatch	ground
escape	BD	esc_dispatch	ground
escape	BE	esc_dispatch	ground
escape	BF	esc_dispatch	ground
escape	C0	esc_dispatch	ground
escape	C1	esc_dispatch	ground
escape	C2	esc_dispatch	ground
escape	C3	esc_dispatch	ground
escape	C4	esc_dispatch	ground
escape	C5	esc_dispatch	ground
escape	C6	esc_dispatch	ground
escape	C7	esc_dispatch	ground
escape	C8	esc_dispatch	ground
escape	C9	esc_dispatch	ground
escape	CA	esc_dispatch	ground
escape	CB	esc_dispatch	ground
escape	CC	esc_dispatch	ground
escape	CD	esc_dispatch	ground
escape	CE	esc_dispatch	ground
escape	CF	esc_dispatch	ground
escape	D0	clear	dcs_entry
escape	D1	esc_dispatch	ground
escape	D2	esc_dispatch	ground
escape	D3	esc_dispatch	ground
escape	D4	esc_dispatch	ground
escape	D5	esc_dispatch	ground
escape	D6	esc_dispatch	ground
escape	D7	esc_dispatch	ground
escape	D8	-	sos_pm_apc_string
escape	D9	esc_dispatch	ground
escape	DA	esc_dispatch	ground
escape	DB	clear	csi_entry
escape	DC	esc_dispatch	ground
escape	DD	osc_start	osc_string
escape	DE	-	sos_pm_apc_string
escape	DF	-	sos_pm_apc_string
escape	E0	esc_dispatch	ground
escape	E1	esc_dispatch	ground
escape	E2	esc_dispatch	ground
escape	E3	esc_dispatch	ground
escape	E4	esc_dispatch	ground
escape	E5	esc_dispatch	ground
escape	E6	esc_dispatch	ground
escape	E7	esc_dispatch	ground
escape	E8	esc_dispatch	ground
escape	E9	esc_dispatch	ground
escape	EA	esc_dispatch	ground
escape	EB	esc_dispatch	ground
escape	EC	esc_dispatch	ground
escape	ED	esc_dispatch	ground
escape	EE	esc_dispatch	ground
escape	EF	esc_dispatch	ground
escape	F0	esc_dispatch	ground
escape	F1	esc_dispatch	ground
escape	F2	esc_dispatch	ground
escape	F3	esc_dispatch	ground
escape	F4	esc_dispatch	ground
escape	F5	esc_dispatch	ground
escape	F6	esc_dispatch	ground
escape	F7	esc_dispatch	ground
escape	F8	esc_dispatch	ground
escape	F9	esc_dispatch	ground
escape	FA	esc_dispatch	ground
escape	FB	esc_dispatch	ground
escape	FC	esc_dispatch	ground
escape	FD	esc_dispatch	ground
escape	FE	esc_dispatch	ground
escape	FF	ignore	.
escape_intermediate	00	execute	.
escape_intermediate	01	execute	.
escape_intermediate	02	execute	.
escape_intermediate	03	execute	.
escape_intermediate	04	execute	.
escape_intermediate	05	execute	.
escape_intermediate	06	execute	.
escape_intermediate	07	execute	.
escape_intermediate	08	execute	.
escape_intermediate	09	execute	.
escape_intermediate	0A	execute	.
escape_intermediate	0B	execute	.
escape_intermediate	0C	execute	.
escape_intermediate	0D	execute	.
escape_intermediate	0E	execute	.
escape_intermediate	0F	execute	.
escape_intermediate	10	execute	.
escape_intermediate	11	execute	.
escape_intermediate	12	execute	.
escape_intermediate	13	execute	.
escape_intermediate	14	execute	.
escape_intermediate	15	execute	.
escape_intermediate	16	execute	.
escape_intermediate	17	execute	.
escape_intermediate	18	execute	ground
escape_intermediate	19	execute	.
escape_intermediate	1A	execute	ground
escape_intermediate	1B	clear	escape
escape_intermediate	1C	execute	.
escape_intermediate	1D	execute	.
escape_intermediate	1E	execute	.
escape_intermediate	1F	execute	.
escape_intermediate	20	collect	.
escape_intermediate	21	collect	.
escape_intermediate	22	collect	.
escape_intermediate	23	collect	.
escape_intermediate	24	collect	.
escape_intermediate	25	collect	.
escape_intermediate	26	collect	.
escape_intermediate	27	collect	.
escape_intermediate	28	collect	.
escape_intermediate	29	collect	.
escape_intermediate	2A	collect	.
escape_intermediate	2B	collect	.
escape_intermediate	2C	collect	.
escape_intermediate	2D	collect	.
escape_intermediate	2E	collect	.
escape_intermediate	2F	collect	.
escape_intermediate	30	esc_dispatch	ground
escape_intermediate	31	esc_dispatch	ground
escape_intermediate	32	esc_dispatch	ground
escape_intermediate	33	esc_dispatch	ground
escape_intermediate	34	esc_dispatch	ground
escape_intermediate	35	esc_dispatch	ground
escape_intermediate	36	esc_dispatch	ground
escape_intermediate	37	esc_dispatch	ground
escape_intermediate	38	esc_dispatch	ground
escape_intermediate	39	esc_dispatch	ground
escape_intermediate	3A	esc_dispatch	ground
escape_intermediate	3B	esc_dispatch	ground
escape_intermediate	3C	esc_dispatch	ground
escape_intermediate	3D	esc_dispatch	ground
escape_intermediate	3E	esc_dispatch	ground
escape_intermediate	3F	esc_dispatch	ground
escape_intermediate	40	esc_dispatch	ground
escape_intermediate	41	esc_dispatch	ground
escape_intermediate	42	esc_dispatch	ground
escape_intermediate	43	esc_dispatch	ground
